county_display_name,state_name,population,fips
Autauga County, Alabama,55869,1001
Baldwin County, Alabama,223234,1003
Barbour County, Alabama,24686,1005
Bibb County, Alabama,22394,1007
Blount County, Alabama,57826,1009
Bullock County, Alabama,10101,1011
Butler County, Alabama,19448,1013
Calhoun County, Alabama,113605,1015
Chambers County, Alabama,33254,1017
Cherokee County, Alabama,26196,1019
Chilton County, Alabama,44428,1021
Choctaw County, Alabama,12589,1023
Clarke County, Alabama,23622,1025
Clay County, Alabama,13235,1027
Cleburne County, Alabama,14910,1029
Coffee County, Alabama,52342,1031
Colbert County, Alabama,55241,1033
Conecuh County, Alabama,12067,1035
Coosa County, Alabama,10663,1037
Covington County, Alabama,37049,1039
Crenshaw County, Alabama,13772,1041
Cullman County, Alabama,83768,1043
Dale County, Alabama,49172,1045
Dallas County, Alabama,37196,1047
DeKalb County, Alabama,71513,1049
Elmore County, Alabama,81209,1051
Escambia County, Alabama,36633,1053
Etowah County, Alabama,102268,1055
Fayette County, Alabama,16302,1057
Franklin County, Alabama,31362,1059
Geneva County, Alabama,26271,1061
Greene County, Alabama,8111,1063
Hale County, Alabama,14651,1065
Henry County, Alabama,17205,1067
Houston County, Alabama,105882,1069
Jackson County, Alabama,51626,1071
Jefferson County, Alabama,658573,1073
Lamar County, Alabama,13805,1075
Lauderdale County, Alabama,92729,1077
Lawrence County, Alabama,32924,1079
Lee County, Alabama,164542,1081
Limestone County, Alabama,98915,1083
Lowndes County, Alabama,9726,1085
Macon County, Alabama,18068,1087
Madison County, Alabama,372909,1089
Marengo County, Alabama,18863,1091
Marion County, Alabama,29709,1093
Marshall County, Alabama,96774,1095
Mobile County, Alabama,413210,1097
Monroe County, Alabama,20733,1099
Montgomery County, Alabama,226486,1101
Morgan County, Alabama,119679,1103
Perry County, Alabama,8923,1105
Pickens County, Alabama,19930,1107
Pike County, Alabama,33114,1109
Randolph County, Alabama,22722,1111
Russell County, Alabama,57961,1113
St Clair County, Alabama,89512,1115
Shelby County, Alabama,217702,1117
Sumter County, Alabama,12427,1119
Talladega County, Alabama,79978,1121
Tallapoosa County, Alabama,40367,1123
Tuscaloosa County, Alabama,209355,1125
Walker County, Alabama,63521,1127
Washington County, Alabama,16326,1129
Wilcox County, Alabama,10373,1131
Winston County, Alabama,23629,1133
Aleutians East Borough, Alaska,3337,2013
Aleutians West Census Area, Alaska,5634,2016
Anchorage Municipality, Alaska,288000,2020
Bethel Census Area, Alaska,18386,2050
Bristol Bay Borough, Alaska,836,2060
Denali Borough, Alaska,2097,2068
Dillingham Census Area, Alaska,4916,2070
Fairbanks North Star Borough, Alaska,96849,2090
Haines Borough, Alaska,2530,2100
Hoonah-Angoon Census Area, Alaska,2148,2105
Juneau City and Borough, Alaska,31974,2110
Kenai Peninsula Borough, Alaska,58708,2122
Ketchikan Gateway Borough, Alaska,13901,2130
Kodiak Island Borough, Alaska,12998,2150
Kusilvak Census Area, Alaska,8314,2158
Lake and Peninsula Borough, Alaska,1592,2164
Matanuska-Susitna Borough, Alaska,108317,2170
Nome Census Area, Alaska,10004,2180
North Slope Borough, Alaska,9832,2185
Northwest Arctic Borough, Alaska,7621,2188
Petersburg Borough, Alaska,3266,2195
Prince of Wales-Hyder Census Area, Alaska,6203,2198
Sitka City and Borough, Alaska,8493,2220
Skagway Municipality, Alaska,1183,2230
Southeast Fairbanks Census Area, Alaska,6893,2240
Valdez-Cordova Census Area, Alaska,9202,2261
Wrangell City and Borough, Alaska,2502,2275
Yakutat City and Borough, Alaska,579,2282
Yukon-Koyukuk Census Area, Alaska,5230,2290
Apache County, Arizona,71887,4001
Cochise County, Arizona,125922,4003
Coconino County, Arizona,143476,4005
